epoch,mse,mae,rmse
1,24.08273988059073,2.2322836,2.475151
2,7.040652961441965,1.3613663,1.6172845
3,3.2293738199002817,0.87882686,1.0891978
4,2.401007728143172,0.6787259,0.8515966
5,2.137084957325097,0.6094248,0.77124757
6,1.7622842544859105,0.5928062,0.7556684
7,1.6723069259614656,0.5570392,0.7186068
8,1.668352416970513,0.52426815,0.67253214
9,1.41974554504409,0.5025313,0.64956546
10,1.2859173660928553,0.49505922,0.6380351
11,1.3320937752723694,0.50684166,0.65453666
12,1.1848064737789559,0.47998238,0.61877805
13,1.2258445990808082,0.48300573,0.623319
14,1.0549488776560985,0.46417993,0.60394686
15,1.0838023690563259,0.4442484,0.5763422
16,1.0562210390062043,0.45953462,0.60173446
17,1.0652750513770364,0.4265843,0.56305915
18,1.067955761696353,0.42782846,0.56527704
19,1.0093678791414609,0.42621496,0.55834717
20,0.9086298161383831,0.4209234,0.55396616
21,0.8678835513013782,0.40783605,0.53987074
22,0.8864850514765942,0.40084442,0.52867347
23,0.8764281963760202,0.38880992,0.50801796
24,0.8355798107205015,0.3943479,0.5227264
25,0.8096052394671873,0.3871051,0.51210904
26,0.8224257894537665,0.39570165,0.5187329
27,0.8577851467963421,0.40025476,0.52936244
28,0.772346598632408,0.39503726,0.5202524
29,0.872830842480515,0.39392307,0.52006286
30,0.6660239454923254,0.3832557,0.5093928
31,0.7291542648366003,0.37855926,0.5022084
32,0.7453865517269481,0.37465316,0.4953393
33,0.7213650783806136,0.37385798,0.4992016
34,0.7452552386305549,0.36128706,0.4837006
35,0.6665106483481147,0.358878,0.47819734
36,0.6256416004263994,0.35923192,0.48281237
37,0.6469628783789548,0.35728824,0.48119348
38,0.5662424559846069,0.36242083,0.4842811
39,0.6358594323198,0.34964648,0.46915564
40,0.5910327344229727,0.34286055,0.45749676
41,0.6040460354450977,0.34831834,0.4578862
42,0.6592600463014661,0.35398996,0.47190285
43,0.6278749984322172,0.34022337,0.45652178
44,0.546310704991673,0.34975722,0.47490937
45,0.6560546904802322,0.3525592,0.4761744
46,0.5777852562340823,0.33556914,0.45193884
47,0.5665876002925815,0.3350552,0.44578385
48,0.5264235310482256,0.33078325,0.44490302
49,0.5692621460466674,0.3286764,0.4431681
50,0.5080056131789179,0.3232414,0.4361871
51,0.5808205487150134,0.33309406,0.44771263
52,0.563335196538405,0.3420892,0.4655693
53,0.5001660826982874,0.3299563,0.44914645
54,0.44127124457648303,0.315842,0.42739254
55,0.4729524638616677,0.32878494,0.444828
56,0.4676308859929894,0.3108354,0.42554578
57,0.4696979339827191,0.3166135,0.42672125
58,0.46299845228592557,0.30852622,0.42009193
59,0.5042033337733962,0.31317303,0.4252835
60,0.4877862749677716,0.31146058,0.41854936
61,0.4679699508529721,0.30910018,0.41721
62,0.43666752021421085,0.31322548,0.42342013
63,0.43383072474689194,0.29615784,0.40396303
64,0.4550497667355971,0.3180337,0.43005928
65,0.4069959469365351,0.31679547,0.4268551
66,0.4312624118544839,0.2997537,0.40267617
67,0.4786465247020577,0.30585432,0.41864827
68,0.3768793414487983,0.29688704,0.40760204
69,0.41339809515259485,0.29220936,0.40017894
70,0.4319113985155568,0.2924968,0.40919337
71,0.45577727608156926,0.28926134,0.39549902
72,0.4077290574258024,0.2860524,0.39294988
73,0.39660720346551953,0.29504913,0.40079305
74,0.4409181931705186,0.29222986,0.40237883
75,0.4096271881099903,0.2937681,0.39729458
76,0.4179154708981514,0.28521448,0.39093316
77,0.4960001648375482,0.3041704,0.41253948
78,0.39964562699650275,0.2867109,0.39269838
79,0.39384806336778583,0.27406675,0.37200433
80,0.3552344852324688,0.28076905,0.38589278
81,0.33593010552453273,0.27900192,0.38624364
82,0.3151202147657221,0.27241445,0.37824237
83,0.3413106297904795,0.27951604,0.38541177
84,0.3406176974601818,0.27385673,0.37439978
85,0.3335390732143865,0.26487568,0.36889803
86,0.3766359779419321,0.2748229,0.37648338
87,0.3581644411791455,0.26401004,0.37152618
88,0.38274718098568195,0.27086073,0.37414134
89,0.3172806274484504,0.26469198,0.36443818
90,0.4017425181739258,0.26956004,0.37256977
91,0.3231711782740824,0.27915528,0.38109034
92,0.3357247543154341,0.27335966,0.37974527
93,0.35295250695763214,0.26645616,0.36958173
94,0.32494768568060617,0.26630035,0.3657098
95,0.339493285751704,0.25626925,0.35435978
96,0.3107356919032155,0.26898867,0.37118593
97,0.28526319281169865,0.25637835,0.36060983
98,0.3033598900744409,0.24438207,0.33075863
99,0.29958284307609906,0.25872564,0.35779995
100,0.29342515032851335,0.26315212,0.36294058
